filename1,filename2,project1_type,project2_type,dependency_ratio,project1,project2,filepath1,filepath2
ChatGPT.java,ChatgptAutoConfiguration.java,/ai_app/,/ai_app/,58.620689655172406,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/autoconfig/ChatgptAutoConfiguration.java
ChatGPT.java,ChatRequest.java,/ai_app/,/ai_app/,23.33333333333333,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/ChatRequest.java
ChatGPT.java,ChatResponse.java,/ai_app/,/ai_app/,53.333333333333336,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/ChatResponse.java
ChatGPT.java,Choice.java,/ai_app/,/ai_app/,53.333333333333336,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/Choice.java
ChatGPT.java,Usage.java,/ai_app/,/ai_app/,53.333333333333336,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/Usage.java
ChatGPT.java,MultiChatMessage.java,/ai_app/,/ai_app/,23.33333333333333,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/chat/MultiChatMessage.java
ChatGPT.java,MultiChatRequest.java,/ai_app/,/ai_app/,23.33333333333333,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/chat/MultiChatRequest.java
ChatGPT.java,MultiChatResponse.java,/ai_app/,/ai_app/,23.33333333333333,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/chat/MultiChatResponse.java
ChatGPT.java,MultiResponseChoice.java,/ai_app/,/ai_app/,23.33333333333333,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/chat/MultiResponseChoice.java
ChatGPT.java,ImageData.java,/ai_app/,/ai_app/,53.333333333333336,ChatGPT-1.0.2,chatgpt-spring-boot-starter-1.0.4,../tested_software/ai_app/ChatGPT-1.0.2/ChatGPT-1.0.2/src/main/java/com/lilittlecat/chatgpt/offical/ChatGPT.java,../tested_software/ai_app/chatgpt-spring-boot-starter-1.0.4/chatgpt-spring-boot-starter-1.0.4/src/main/java/io/github/flashvayne/chatgpt/dto/image/ImageData.java
